SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2784,XRP,XRP,19/03/2021 23:59,0.47838826,0.46343189,0.47279708,0.4711709,2626051305,21393057091
2783,XRP,XRP,18/03/2021 23:59,0.49080923,0.45583595,0.47238267,0.47291937,3265976425,21472444568
2782,XRP,XRP,17/03/2021 23:59,0.48331168,0.45706138,0.46282248,0.47241705,4341765347,21449637130
2781,XRP,XRP,16/03/2021 23:59,0.51495941,0.43007769,0.43745378,0.46259998,7382009786,21003902721
2780,XRP,XRP,15/03/2021 23:59,0.44831422,0.4265467,0.4420871,0.43755501,3116009271,19866760408
2779,XRP,XRP,14/03/2021 23:59,0.46209239,0.44211151,0.45963106,0.44211151,2509435800,20073643665
2778,XRP,XRP,13/03/2021 23:59,0.4648238,0.43552157,0.44110948,0.45992445,3212270555,20882422750
2777,XRP,XRP,12/03/2021 23:59,0.46369387,0.43301496,0.45299132,0.44113069,3326213717,20029110602
2776,XRP,XRP,11/03/2021 23:59,0.46428151,0.44301661,0.46304905,0.45295964,3186670815,20566192323
2775,XRP,XRP,10/03/2021 23:59,0.48764747,0.45883117,0.48590298,0.46316597,3271277631,21029601065
2774,XRP,XRP,09/03/2021 23:59,0.48598773,0.47244166,0.47374483,0.48598773,3020728025,22065800899
2773,XRP,XRP,08/03/2021 23:59,0.48598939,0.45731861,0.46688845,0.47359734,3587390975,21503227135
2772,XRP,XRP,07/03/2021 23:59,0.4692861,0.45986601,0.4650942,0.46686727,2364586464,21197655055
2771,XRP,XRP,06/03/2021 23:59,0.47068809,0.45249527,0.45786376,0.46510621,2758849692,21117695564
2770,XRP,XRP,05/03/2021 23:59,0.48583084,0.44994799,0.48583084,0.45811912,4288262516,20800453451
2769,XRP,XRP,04/03/2021 23:59,0.49314245,0.4380025,0.45005969,0.48660534,6027421637,22093842734
2768,XRP,XRP,03/03/2021 23:59,0.4666524,0.43352588,0.43690301,0.45027913,3304301858,20444486466
2767,XRP,XRP,02/03/2021 23:59,0.45476367,0.42484324,0.4464961,0.43683726,3388591213,19834171592
2766,XRP,XRP,01/03/2021 23:59,0.45134755,0.41358698,0.41510926,0.44724414,3547533777,20306685603
2765,XRP,XRP,28/02/2021 23:59,0.43944012,0.39769878,0.43776427,0.41495318,4325860134,18840545903
2764,XRP,XRP,27/02/2021 23:59,0.45759649,0.42790433,0.42790433,0.43780898,4756622833,19878291691
2763,XRP,XRP,26/02/2021 23:59,0.45043993,0.41555853,0.43494082,0.42790019,6476253874,19428392307
2762,XRP,XRP,25/02/2021 23:59,0.48251693,0.42910328,0.47177568,0.43452354,5952353924,19729119199
2761,XRP,XRP,24/02/2021 23:59,0.49936965,0.45475888,0.47420092,0.47183151,8015468859,21423051553
2760,XRP,XRP,23/02/2021 23:59,0.57098918,0.37930209,0.57098918,0.47356259,14359021786,21501649334
2759,XRP,XRP,22/02/2021 23:59,0.63985051,0.52006904,0.54832441,0.57174115,18769236632,25959351669
2758,XRP,XRP,21/02/2021 23:59,0.55836731,0.50846391,0.51687934,0.54856014,6569716153,24906840534
2757,XRP,XRP,20/02/2021 23:59,0.58242381,0.48244043,0.56688315,0.51751221,7892199926,23497139197
2756,XRP,XRP,19/02/2021 23:59,0.57908432,0.52065491,0.53256997,0.56701857,6896487164,25744927541
2755,XRP,XRP,18/02/2021 23:59,0.55864091,0.52387216,0.53509777,0.5324331,5621706995,24174607717
2754,XRP,XRP,17/02/2021 23:59,0.55436056,0.49711614,0.52079846,0.53553723,9332962077,24315547799
2753,XRP,XRP,16/02/2021 23:59,0.57731516,0.49003827,0.54859501,0.52084597,10310430732,23648505355
2752,XRP,XRP,15/02/2021 23:59,0.600052,0.52156424,0.59345348,0.54891537,10563510365,24922969086
2751,XRP,XRP,14/02/2021 23:59,0.63238589,0.56715511,0.62844966,0.5941931,10460949240,26978760718
2750,XRP,XRP,13/02/2021 23:59,0.6370347,0.54991784,0.60810519,0.62899615,14161115005,28558959198
2749,XRP,XRP,12/02/2021 23:59,0.61262968,0.51826489,0.52462749,0.60859231,13950086407,27632542730
2748,XRP,XRP,11/02/2021 23:59,0.52761726,0.50113619,0.50305255,0.52478651,8979459920,23827421835
2747,XRP,XRP,10/02/2021 23:59,0.53410474,0.46599033,0.47191863,0.5034453,13793347172,22858444785
2746,XRP,XRP,09/02/2021 23:59,0.48519079,0.44757041,0.44765934,0.47199055,9634769935,21430272599
2745,XRP,XRP,08/02/2021 23:59,0.45991625,0.412719,0.4177655,0.447702,8180714581,20327474410
2744,XRP,XRP,07/02/2021 23:59,0.44551885,0.39876723,0.43912813,0.41795756,7495069765,18976956807
2743,XRP,XRP,06/02/2021 23:59,0.4522818,0.42671043,0.45015712,0.43909568,7625571666,19936712822
2742,XRP,XRP,05/02/2021 23:59,0.46470514,0.42510223,0.44532514,0.45004704,10229060640,20433948824
2741,XRP,XRP,04/02/2021 23:59,0.47230557,0.37918058,0.3934106,0.4464491,13193400182,20270587945
2740,XRP,XRP,03/02/2021 23:59,0.40806164,0.36936404,0.36936404,0.39348981,8672301822,17866022515
2739,XRP,XRP,02/02/2021 23:59,0.40426357,0.34426852,0.37052046,0.36927,12756138062,16766345436
2738,XRP,XRP,01/02/2021 23:59,0.74482054,0.3606929,0.49251245,0.37150866,34974233953,16867989812
2737,XRP,XRP,31/01/2021 23:59,0.49970232,0.38949785,0.43783155,0.49231408,24394851756,22353042408
2736,XRP,XRP,30/01/2021 23:59,0.48934619,0.27982525,0.28215207,0.44024444,24417465997,19988871043
2735,XRP,XRP,29/01/2021 23:59,0.31019353,0.26048783,0.27053047,0.28218765,8031899348,12812456128
2734,XRP,XRP,28/01/2021 23:59,0.26900863,0.24878647,0.25191458,0.26412208,2793379611,11992206363
2733,XRP,XRP,27/01/2021 23:59,0.26897216,0.24553212,0.26885593,0.25194347,2940937079,11439248738
2732,XRP,XRP,26/01/2021 23:59,0.27110351,0.25970775,0.26904922,0.26882663,2790821503,12205812184
2731,XRP,XRP,25/01/2021 23:59,0.28241733,0.26880025,0.27347297,0.26908877,2925493997,12217714233
2730,XRP,XRP,24/01/2021 23:59,0.27742465,0.27021568,0.27183984,0.2735085,2472431875,12418387933
2729,XRP,XRP,23/01/2021 23:59,0.28262269,0.26697864,0.27261076,0.27182148,3018882841,12341790398
2728,XRP,XRP,22/01/2021 23:59,0.27784325,0.24491746,0.26877562,0.27279859,4501765714,12386155167
2727,XRP,XRP,21/01/2021 23:59,0.30621835,0.26312363,0.29646649,0.26894641,4453463443,12211250678
2726,XRP,XRP,20/01/2021 23:59,0.30862124,0.28198578,0.29421855,0.29651801,4528341598,13463112369
2725,XRP,XRP,19/01/2021 23:59,0.32618792,0.283997,0.28482555,0.2943137,5583136814,13363027569
2724,XRP,XRP,18/01/2021 23:59,0.28762379,0.27263674,0.27737195,0.28476919,3239112861,12929668504
2723,XRP,XRP,17/01/2021 23:59,0.28526809,0.27065174,0.28006687,0.27738365,3488557208,12594335138
2722,XRP,XRP,16/01/2021 23:59,0.29519115,0.27701007,0.28029241,0.28018836,4116256007,12721680326
2721,XRP,XRP,15/01/2021 23:59,0.30175669,0.26474733,0.29556898,0.2804055,4955409029,12731539391
2720,XRP,XRP,14/01/2021 23:59,0.30834329,0.28421144,0.3055364,0.29543791,5277189444,13414071298
2719,XRP,XRP,13/01/2021 23:59,0.30879798,0.28688895,0.2920282,0.30557979,4831812051,13874553414
2718,XRP,XRP,12/01/2021 23:59,0.30992366,0.27936977,0.28867655,0.29212313,6557418314,13263566887
2717,XRP,XRP,11/01/2021 23:59,0.31794093,0.25946787,0.31794093,0.28890503,9787288503,13117452414
2716,XRP,XRP,10/01/2021 23:59,0.36522057,0.29215909,0.32683349,0.31833641,9647740012,14453755388
2715,XRP,XRP,09/01/2021 23:59,0.33985872,0.30789503,0.32315641,0.32691622,7184429145,14843313424
2714,XRP,XRP,08/01/2021 23:59,0.34591582,0.29153925,0.32608857,0.32322959,9825829516,14675925485
2713,XRP,XRP,07/01/2021 23:59,0.36529635,0.24780984,0.25092553,0.32600198,15955049240,14801803205
2712,XRP,XRP,06/01/2021 23:59,0.26915805,0.22346416,0.22686629,0.25089517,7552726810,11391651582
2711,XRP,XRP,05/01/2021 23:59,0.2412511,0.22160197,0.23663584,0.22675012,5378491929,10295369035
2710,XRP,XRP,04/01/2021 23:59,0.25647683,0.21972166,0.22603832,0.23667712,6141918380,10746094508
2709,XRP,XRP,03/01/2021 23:59,0.23774116,0.21716681,0.22174389,0.22584819,5109898871,10254417777
2708,XRP,XRP,02/01/2021 23:59,0.23838778,0.21581639,0.23766997,0.22165492,4773658725,10064026551
2707,XRP,XRP,01/01/2021 23:59,0.24926978,0.21728764,0.21984463,0.23744438,5888429287,10780931627
2706,XRP,XRP,31/12/2020 23:59,0.22761314,0.20646538,0.21178667,0.21984557,5363979601,9981874643
2705,XRP,XRP,30/12/2020 23:59,0.23535969,0.19467017,0.22090217,0.2118282,8894036560,9617853652
2704,XRP,XRP,29/12/2020 23:59,0.24831767,0.17483131,0.24767327,0.22096201,12970077098,10032565433
